#    L    TT             EE             TE             PP             TP          
   262    0.52144E+04    0.27285E+01    0.70571E+02    0.20538E+07    0.52633E+03
   263    0.51950E+04    0.28169E+01    0.72054E+02    0.20444E+07    0.52314E+03
   264    0.51749E+04    0.29075E+01    0.73521E+02    0.20351E+07    0.51993E+03
   265    0.51544E+04    0.30001E+01    0.74964E+02    0.20258E+07    0.51670E+03
   266    0.51334E+04    0.30949E+01    0.76404E+02    0.20167E+07    0.51345E+03
   267    0.51120E+04    0.31917E+01    0.77820E+02    0.20076E+07    0.51018E+03
   268    0.50901E+04    0.32907E+01    0.79227E+02    0.19985E+07    0.50689E+03
   269    0.50677E+04    0.33917E+01    0.80617E+02    0.19895E+07    0.50359E+03
   270    0.50450E+04    0.34948E+01    0.81990E+02    0.19806E+07    0.50026E+03
   271    0.50218E+04    0.35999E+01    0.83346E+02    0.19717E+07    0.49692E+03
   272    0.49984E+04    0.37074E+01    0.84678E+02    0.19629E+07    0.49357E+03
   273    0.49745E+04    0.38165E+01    0.86001E+02    0.19542E+07    0.49019E+03
   274    0.49503E+04    0.39281E+01    0.87292E+02    0.19455E+07    0.48681E+03
   275    0.49256E+04    0.40415E+01    0.88573E+02    0.19369E+07    0.48341E+03
   276    0.49007E+04    0.41569E+01    0.89823E+02    0.19284E+07    0.47999E+03
   277    0.48753E+04    0.42744E+01    0.91063E+02    0.19199E+07    0.47657E+03
   278    0.48496E+04    0.43940E+01    0.92272E+02    0.19114E+07    0.47313E+03
   279    0.48236E+04    0.45155E+01    0.93456E+02    0.19031E+07    0.46968E+03
   280    0.47972E+04    0.46390E+01    0.94631E+02    0.18947E+07    0.46622E+03
   281    0.47707E+04    0.47646E+01    0.95773E+02    0.18865E+07    0.46275E+03
   282    0.47436E+04    0.48919E+01    0.96892E+02    0.18783E+07    0.45927E+03
   283    0.47164E+04    0.50213E+01    0.97986E+02    0.18701E+07    0.45579E+03
   284    0.46888E+04    0.51526E+01    0.99056E+02    0.18620E+07    0.45229E+03
   285    0.46610E+04    0.52858E+01    0.10010E+03    0.18540E+07    0.44879E+03
   286    0.46328E+04    0.54209E+01    0.10112E+03    0.18460E+07    0.44528E+03
